run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,p_chosen
3,117,CEVR,scram,132,0.27754,0,36.7225,1634,95.9731,97.6231,97.6731,98.573,4.1,scram_8.png,6.44837580590709e-09
3,118,CEVR,scram,83,0.4768,83,39.384,3584,102.6895,106.2894,106.3394,107.2393,3.1,scram_14.png,0.00451776971509579
3,119,CEVR,scram,87,0.4441,87,38.7764,3384,110.3558,113.7557,113.8057,114.7056,3.1,scram_3.png,6.44781324420314e-05
3,120,CEVR,scram,84,0.45455,0,38.3636,3451,117.8222,121.2887,121.3387,122.2386,5.1,scram_21.png,0.00315255151112494
3,121,CEVR,scram,106,0.34241,106,36.3152,2518,127.3551,129.8883,129.9383,130.8382,10.1,scram_17.png,2.45672286418974e-05
3,122,CEVR,scram,106,0.35655,106,37.7131,2668,140.9545,143.6377,143.6877,144.5876,1.1,scram_24.png,0.000243254453121593
3,123,CEVR,scram,101,0.37547,101,37.7509,2851,145.7043,148.5708,148.6208,149.5208,0.1,scram_16.png,0.000692429761172625
3,124,CEVR,scram,107,0.35325,107,37.7065,2634,149.6375,152.2873,152.3373,153.2373,1.1,scram_15.png,0.000350131989800612
3,125,CEVR,scram,108,0.35325,0,38.0597,2634,154.3539,157.0038,157.0538,157.9537,0.1,scram_6.png,0.000235214282753058
3,126,CEVR,scram,108,0.35489,0,38.4196,2651,158.0705,160.7369,160.787,161.6869,2.1,scram_12.png,0.000201747186015085
3,127,CEVR,scram,104,0.34849,0,36.303,2584,163.8035,166.4033,166.4534,167.3533,1.1,scram_25.png,7.0536113382293e-05
3,128,CEVR,scram,98,0.36489,0,35.9053,2751,168.47,171.2365,171.2865,172.1864,0.1,scram_20.png,0.000249410519420878
3,129,CEVR,scram,106,0.35645,106,37.7129,2667,172.3031,174.9863,175.0363,175.9363,1.1,scram_19.png,0.000282697006773742
3,130,CEVR,scram,104,0.35655,0,37,2668,177.0529,179.7361,179.7861,180.6861,1.1,scram_14.png,0.000243659711527723
3,131,CEVR,scram,105,0.35655,0,37.3566,2668,181.8027,184.4859,184.5359,185.4359,2.1,scram_1.png,0.00021427447034909
3,132,CEVR,scram,107,0.35982,0,38.4393,2701,187.5525,190.269,190.319,191.2189,9.1,scram_18.png,0.000240619772532483
3,133,CEVR,scram,106,0.35325,0,37.3532,2634,200.3352,202.9851,203.0351,203.935,3.1,scram_15.png,0.000139641085044279
3,134,CEVR,scram,79,0.45185,79,35.6445,3434,207.0682,210.5181,210.5681,211.468,1.1,scram_11.png,0.00197065127888179
3,135,CEVR,scram,78,0.44671,0,34.7665,3401,212.5847,216.0012,216.0512,216.9511,6.1,scram_7.png,0.00489456103021204
3,136,CEVR,scram,100,0.35982,0,35.9205,2701,223.0676,225.7841,225.8341,226.7341,0.1,scram_17.png,0.000208113067425509
3,137,CEVR,scram,106,0.35489,0,37.7098,2651,226.8508,229.5172,229.5673,230.4672,3.1,scram_2.png,0.000132690776033897
3,138,CEVR,scram,85,0.43661,0,37,3334,233.5838,236.9336,236.9836,237.8835,6.1,scram_3.png,0.00548989567828703
3,139,CEVR,scram,110,0.34241,110,37.6848,2518,244.0666,246.5998,246.6499,247.5498,0.1,scram_9.png,0.00129493789665413
3,140,CEVR,scram,102,0.34849,102,35.606,2584,247.6665,250.2663,250.3164,251.2163,6.1,scram_5.png,0.00291217850318828
