run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,value_softmax_p_chosen,uv_p_chosen
7,308,CEV,scram,82,0.45457,82,37.4546,3118,38.7491,41.8822,41.9322,42.8322,0.1,scram_9.png,3.49705255642446e-08,7.99248612963515e-11
7,309,CEV,scram,52,0.74029,52,38.4806,1118,42.9655,44.0988,44.1488,45.0487,1.1,scram_20.png,0.00252731988648258,0.00513922139221204
7,310,CEV,scram,60,0.676,0,40.38,1568,46.182,47.7653,47.8153,48.7152,3.1,scram_11.png,4.42798494066922e-05,4.78634002055834e-06
7,311,CEV,scram,52,0.72129,0,37.7213,1251,51.8484,53.115,53.1651,54.065,5.1,scram_24.png,3.08647266175642e-07,2.28893214293272e-07
7,312,CEV,scram,82,0.45457,0,37.4546,3118,59.1981,62.3312,62.3813,63.2812,1.1,scram_1.png,2.83931928952228e-06,2.85489094032785e-08
7,313,CEV,scram,67,0.51886,67,34.9246,2668,64.4145,67.0977,67.1477,68.0477,2.1,scram_12.png,0.0203291915633604,0.00382888809355418
7,314,CEV,scram,52,0.71171,0,37,1318,70.1809,71.5141,71.5642,72.4641,5.1,scram_6.png,4.06886052484314e-08,1.72150802911613e-07
7,315,CEV,scram,87,0.40943,0,35.7717,3434,77.6139,81.0637,81.1137,82.0142,0.1,scram_21.png,1.18466257871306e-10,2.4308662803502e-11
7,316,CEV,scram,49,0.77814,49,37.7781,853,82.1637,83.0303,83.0803,83.9802,0.1,scram_23.png,0.000394928224597215,8.73125535881755e-05
7,317,CEV,scram,54,0.70457,54,37.7046,1368,84.1303,85.5135,85.5635,86.4634,2.1,scram_22.png,0.00033023951151004,9.81646024625056e-06
7,318,CEV,scram,63,0.54271,63,34.2864,2501,88.6134,91.1299,91.1799,92.0798,8.1,scram_25.png,0.0214662881680125,0.00482142458233607
7,319,CEV,scram,66,0.538,66,35.386,2534,100.2295,102.7793,102.8293,103.7293,2.1,scram_17.png,0.0221977010241819,0.0168748775050051
7,320,CEV,scram,67,0.52843,67,35.4147,2601,105.8792,108.4957,108.5458,109.4457,8.1,scram_10.png,0.0194084994588821,0.0189003141869514
7,321,CEV,scram,44,0.788,44,34.636,784,117.5953,118.3953,118.4453,119.3452,3.1,scram_19.png,2.38359354694818e-06,3.8147546648346e-05
7,322,CEV,scram,71,0.526,71,37.526,2618,122.4951,125.1283,125.1783,126.0782,0.1,scram_15.png,0.0191768022801759,0.0196277097358124
7,323,CEV,scram,83,0.44743,83,37,3168,126.2283,129.4114,129.4614,130.3614,0.1,scram_13.png,2.83853953211711e-06,9.8192646486677e-06
7,324,CEV,scram,90,0.40943,0,37,3434,130.5114,133.9612,134.0116,134.9111,1.1,scram_3.png,3.87945530941883e-11,3.24401715657618e-10
7,325,CEV,scram,79,0.46414,0,36.5359,3051,136.0611,139.1276,139.1776,140.0776,1.1,scram_16.png,9.42238549283543e-06,1.31585231309247e-05
7,326,CEV,scram,45,0.82371,45,37,534,141.2275,141.7775,141.8275,142.7274,0.1,scram_20.png,2.79484373095611e-05,0.00134783674545595
7,327,CEV,scram,0,0,0,0,4017,142.8608,146.8939,146.9439,147.8439,4.1,scram_12.png,8.08102080592819e-21,7.79525637183393e-20
